titulo,ano,abstract
"2012 LAND GRANT AND SEA GRANT NATIONAL WATER CONFERENCE Portland, OR Wed May 23 rd , Session: R4. Innovative Management Managing the ""Shale Gale"" within the goal of water resource sustainability: A case study of unconventional shale gas development and water resource management",2012,"The recent explosion of shale oil and gas development throughout the US and abroad has shaken the water resource community, some believe, like no other activity in its history. As activities of this significant unconventional energy resource rapidly moves forward it is important that the consequences of its development be assessed so that its roll and impact within the more traditional water resource community is fully understood. A knowledge gap about the energy resource/technology and its impact on water resources exist because most information is being provided by sources with minimal knowledge of the industry and/or the water resource community. Formed in 2001 as a Louisiana State University System Institute, the Red River Watershed Management Institute at Shreveport addresses issues that concern the quality and availability of water for the public, agriculture, industry, and ecosystems in the watersheds of the Red River Basin in Arkansas, Louisiana, Oklahoma and Texas. The Institute ended up in the ""eye"" of the ""Shale Gale"" during this new industry's formative stage (Haynesville shale gas ""play"" with its significant water requirements) and has taken that opportunity to develop and utilize unique cooperative adaptive management approaches to find solutions that are being applied to water resource management well beyond this region. The 'Haynesville model' is based on utilizing sound science to establish water resource need and availability (monitoring wells/water quality studies), but just as important is the establishment of pragmatic and sustainable venues where local, state and federal agencies are brought together with industry operators to establish adaptive approaches and, if need be, new legislation (Louisiana) to plan for and implement fair utilization of regional surface and groundwater resources. For it is only through development and communication of this tacit knowledge that solutions flow. An update of emerging plays, hydraulic fracturing and ""waterless"" fracturing will be discussed."
Across the universe of shale resources-a comparative assessment of the emerging legal foundations for unconventional energy,2018,"Outside the US, the commercial development of shale gas and oil will need to overcome significant legal and regulatory challenges if it is ever to take off. This study identifies several key features that have contributed to shale’s economic success in the US and applies them to three country settings where policy decisions have been taken to advance a shale resources agenda: Argentina, Colombia and the United Kingdom. Each country is at an initial stage in the development of its resources and has explored various legal instruments to advance its policy aims. In reviewing their experiences, we may be able to identify the emergence of a dedicated body of good or best practices. The study confirms that governments tend initially to rely heavily on established hydrocarbons regulatory approaches, where they exist, but that these quickly prove fragile or insufficient, and need to be supplemented by new measures and institutions targeted specifically at meeting the challenges arising from ownership, infrastructure (including local content) and consent which may otherwise inhibit investment in this energy sector."
Adoption of legislation on shale gas in france: Hesitation and/or progress.,2013,"This paper provides a chronological account of the eventful adoption of France's first law on shale gas. This governance issue calls into question the implementation of environmental principles, such as the principles of prevention, public information and participation, which were constitutionalized in the 2005 Environmental Charter. The hesitations of the French government illustrate the management difficulties at the state level with regards to new unconventional hydrocarbons that have a particular impact on the environment. On 13th July 2011, the legislator adopted a law that prohibited the use of hydraulic fracturing for the prospection of shale gas and oil. Although this represents a world first, it was designed hastily and has failed to satisfy any of the stakeholders involved. We examine the chronology of events, with particular focus on the chaotic governmental and legislative responses to public pressure on an unprecedented scale."
An analysis of the challenges for groundwater governance during shale gas development in South Africa,2016,"As a prelude to potential development of South Africa’s shale gas resources, it is critical to develop and implement effective groundwater governance arrangements. Existing policies and plans were analysed to determine whether critical gaps or barriers exist that could potentially lead to impacts on groundwater systems. Ten high-priority governance challenges were identified: (a) defining relevant metrics for baseline groundwater quality and availability; (b) developing guidelines for shale gas resource licensing, exploration, drilling, extraction, production, and completion; (c) defining and enforcing compliance monitoring systems; (d) dealing punitively with non-compliant operators; (e) mitigating and managing risks to prevent impairment of groundwater resources; (f) implementing a goal-based regulatory framework; g) enforcing strict chemical disclosure requirements; (h) coordinating across government departments and regulatory bodies meaningfully and productively; (i) implementing a framework for subsidiarity and support to local water management; and (j) providing an incentive framework that supports strong groundwater management and environmental protection. To overcome these challenges, it is recommended that a decentralised, polycentric, bottom-up approach involving multiple institutions is developed to adaptively manage shale gas development. This transition from the current rigid regulatory structure can foster cooperation and collaboration among key stakeholders. The use of a pro-active groundwater governance structure that can accommodate current, near-term, and long-term shale gas development is important for ensuring that future energy development in South Africa incorporates the influence of other simultaneous stressors such as climate (e.g. drought), landuse changes, population growth, industry, and competing demands for water. Keywords : groundwater, water governance, shale gas, South Africa"
Assessing the existing knowledge base and opinions of decision makers on the regulation and monitoring of unconventional gas mining in South Africa,2013,"A policy vacuum exists in relation to the exploration and mining of unconventional gas in South Africa, with a recent survey showing that 86% of the respondents did not know what hydraulic fracturing entails. We conducted a study to determine the opinion of decision makers involved in formulating policy and regulating mining activities related to shale gas mining in South Africa, as this was not covered in the aforementioned survey. Our results demonstrate that the regulation of shale gas mining in South Africa is viewed as extremely important and identifies possible regulatory and monitoring tools to assist in governing this activity."
Brexit and Article 50 of the Treaty of the European Union: Implications for UK Energy Policy and Security,2017,"This paper articulates the potential implications of Brexit on energy policy and security in the United Kingdom (UK). Given the uncertainties associated with the decision to leave the European Union (EU), the need to consider its potential effects on the UK’s energy sector becomes even more pertinent. Through the lens of a few widely reviewed trade regimes in the light of Brexit, it can be observed that while UK energy policies are unlikely to change drastically, Brexit nevertheless threatens the UK’s capacity to safeguard its energy supply. The uncertainties following Brexit could arguably starve the UK’s upstream petroleum, electricity, and renewable energy sectors of their required investments. Both short and long-term impacts could result in UK residents paying more per unit of energy consumed in a “hard Brexit” scenario, where the UK exits the Internal Energy Market (IEM) and must trade with the EU under World Trade Organisation rules. While a hard Brexit could aid the growth of the nascent shale gas industry, a negotiated withdrawal that includes some form of access to the IEM (a “soft Brexit”) would be more beneficial for the future of energy security in the UK."
Butler v. Charles Powers Estate Superior Court Decision Causes Uncertainty with Unconventional Gas Leases,2011,"The Superior Court’s decision in Butler v. Charles Powers Estate is causing some uncertainty with respect to the validity of certain natural gas leases in Pennsylvania’s Marcellus Shale region. The issue before the court involved disputed ownership of the natural gas in the Marcellus Shale (and by implication, other unconventional natural gas plays in Pennsylvania). An 1881 deed reserved to Charles Powers, his heirs and assigns, one half the “minerals and Petroleum Oils” beneath the land. The Butlers brought a quite title action against the heirs seeking ownership of the reserved “minerals and petroleum oils” based on adverse possession. The trial court, citing the Dunham Rule, dismissed with prejudice the heirs’ request for a declaratory judgment that the reservation in the deed reserved to the heirs one-half ownership of the natural gas trapped within the Marcellus Shale on the basis that the deed did not specifically reference natural gas. The Superior Court reversed and remanded, reasoning that the Dunham Rule does not end the analysis, absent a more sufficient understanding of whether, among other things: (1) Marcellus Shale constitutes a “mineral”; (2) Marcellus Shale gas constitutes the type of conventional natural gas contemplated in Dunham and subsequent decisions; and (3) Marcellus Shale is similar to coal to the extent that whoever owns the shale, owns the shale gas. The case was remanded to the trial court to develop the record as to whether the Marcellus Shale constitutes a type of “mineral” such that the gas trapped within the shale falls within the deed’s reservation. The Butlers filed a petition for allowance of appeal with the Pennsylvania Supreme Court on October 7, 2011."
Can the Polish shale gas dog still bark? Politics and policy of unconventional hydrocarbons in Poland☆,2016,"Abstract The article is based on a throughout analysis of Polish and Western debate on shale gas as well as on interviews with key Polish experts and policymakers, and aims at reconstructing the recent history of development of shale gas in Poland and at mapping how various factors and actors have interacted in this process. Although the country’s membership in the EU makes the understanding of the EU regulatory framework important in this context, the main focus of the article is on how the issues have been addressed in Poland, the country that was believed to be best suited to become European shale gas success story. The article sheds light on how four factors – the national energy governance, social acceptance and geological conditions, combined with the Polish approach to energy security – have contributed to the process of shaping of the Polish policy on development of shale gas in a period between 2005 and 2015. By examining the question of development of unconventional energy resources in the Polish and European context this article seeks to address following questions to be covered in the special issue of the journal: • perceptions of risk and socially constructed debate on unconventional gas; • developments in individual countries (Poland) and in the EU; • national concerns about externalities; • the adequacy of current EU regulation and its reception in member states."
Comparative Politics of Sub-Federal Cap-and-Trade: Implementing the Western Climate Initiative,2015,"Why have only two of the eleven original members of the Western Climate Initiative implemented a cap-and-trade system? This article compares the implementation of cap-and-trade in California and Quebec versus in New Mexico and British Columbia. Ideas around the reality of anthropogenic global warming and the legitimacy of cap-and-trade created favorable context in three jurisdictions, although institutions condition the expression of these ideas in the policy-making process. Since parliamentary institutions concentrate power, elite consensus is more important in Canada, while in the United States public opinion plays a more significant role. However, ideational factors shaped by political institutions do not explain differences in cap-and-trade implementation. Growth in shale gas production, welcomed in British Columbia and New Mexico but resisted by Quebec and marginal in California, further explain different outcomes. Ideas, mediated by institutions, are the necessary prerequisites for action, while mat..."
Conceptualizing the above ground factors in shale gas: Toward a research agenda on regulatory governance,2016,"Abstract Stalling progress in European, Chinese and Latin American shale has been attributed to difficult geological formations and lacking data. Yet, ‘above ground’ factors matter in the extractive industries as much as geology. It is policies, regulation and institutional settings that determines the success or failure of a contested, risk bound technology such as fracking. This article suggests that a regulatory governance agenda may offer novel insights into shale gas as a policy phenomenon. The article first provides a critical review of the existing literature on shale gas and identifies the key themes of security, social contestations and socio-economic impact. It then turns to assessing the literature on policy regimes, regulatory competition, regulatory path dependence and regulatory agencies which, it is argued, form essential elements of a research agenda for investigating unconventional gas as a regulatory governance problem. Building on these, the paper sketches focal points of investigations going forward."
