titulo,ano,abstract
‘We are not the Wild West’: anti-fracking protests in Romania,2015,"The protests against recent proposals for exploring and extracting shale gas in Romania are analysed. Examining the specific demands formulated by protesters, we investigate the articulation of a counter-discourse on the social control of natural resources and on the ecological risks involved in the shale gas industry. At the same time, the protests indicate a destabilisation of the post-communist neoliberal consensus by opposing the privatization and deregulation of natural resources. Using a critical political ecology framework, we identify the formation of a specific ‘technonatural’ environment of shale gas, which includes economic interests, political decisions and ideological representations specific to the neoliberalization of natural resources."
« Faire la politique soi-même » : le cas des mobilisations contre le gaz de schiste au Québec,2015,"The literature on activism characterizes the recent transformations of activism as part of a process towards the “personalization of politics”. For structural or cultural reasons, committed citizens appear to be developing a new relationship to politics, seeking personal satisfaction in their engagement. We propose an alternative interpretation, and characterize this transformation as “do-it-yourself” (DIY) politics. Based on the protests against shale gas development in Quebec, we show that the DIY politics is the “logical” (in the sense of rational) result of citizens developing the means to compensate for the lack of institutional opportunities in the context of developments that potentially threaten their lives and livelihoods. Hence, rather than a quest for personal fulfillment, DIY politics must be understood as a more prosaic and contingent reaction to a specific situation, an individual and collective response to a situation experienced and perceived as problematic. In the conflict surrounding shale gas development in Quebec, which serves as our case study, we show that 1) the initial impulse to mobilize may be accurately interpreted as moving from the “territory of the self” (“ territoire du moi ”) to the “territory of the us” (“ territoire du nous ”), and that 2) it is the double failure of institutional representation that underpins civic engagement: the failure of institutional representation and the lack of representation by collective actors already in place."
¨ A Dilemma of Abundance: Governance Challenges of Reconciling Shale Gas Development and Climate Change Mitigation,2013,"Shale gas proponents argue this unconventional fossil fuel offers a “bridge” towards a cleaner energy system by offsetting higher-carbon fuels such as coal. The technical feasibility of reconciling shale gas development with climate action remains contested. However, we here argue that governance challenges are both more pressing and more profound. Reconciling shale gas and climate action requires institutions capable of responding effectively to uncertainty; intervening to mandate emissions reductions and internalize costs to industry; and managing the energy system strategically towards a lower carbon future. Such policy measures prove challenging, particularly in jurisdictions that stand to benefit economically from unconventional fuels. We illustrate this dilemma through a case study of shale gas development in British Columbia, Canada, a global leader on climate policy that is nonetheless struggling to manage gas development for mitigation. The BC case is indicative of the constraints jurisdictions face both to reconcile gas development and climate action, and to manage the industry adequately to achieve social licence and minimize resistance. More broadly, the case attests to the magnitude of change required to transform our energy systems to mitigate climate change."
A framework for Social Impact Assessment of shale gas development in the Northern Territory,2018,This report is one component of a larger task to develop and pilot a framework for social impact assessment specifically relating to potential shale gas development in the Northern Territory (NT). The task was commissioned by the Independent Scientific Panel (the Panel) for the Inquiry into Hydraulic Fracturing in the Northern Territory and awarded to Coffey Services Australia (Coffey). Coffey engaged the team at the Centre for Social Responsibility in Mining (CSRM) at the University of Queensland’s Sustainable Minerals Institute to prepare this report.
A New York or Pennsylvania state of mind: social representations in newspaper coverage of gas development in the Marcellus Shale,2014,"What first comes to mind when you think of natural gas development in the Marcellus Shale region? The information and ideas we hold about shale gas development can strongly influence our discussion of this issue, the impacts we associate with it, and the types of regulation we view as appropriate. Our knowledge and beliefs are based in part on social representations—common sense understandings of complex, often scientific, phenomena, generated in the public sphere and reliant on the history, culture, and social structure of the context in which they emerge. In this article, we examine social representations of environmental, economic, and social impacts of natural gas development in the Marcellus Shale, as reported by major regional newspapers. We conducted a content analysis of newspaper coverage in two newspapers in the northern tier of Pennsylvania and two in the southern tier of New York from 2007 to 2011, with a total sample of 1,037 articles. Effects on water quality were by far the most prevalent environmental representation in each newspaper. Economic representations focused on jobs, leases, and royalties, but varied substantially across geographical contexts. Representations of social impacts were relatively rare in each media outlet. We also interviewed the journalists who wrote the most articles on shale gas development at each newspaper. Their perspectives provide some explanations for why certain impacts were mentioned more frequently than others, and for differences between newspapers. We conclude with implications for communicating about impacts associated with shale gas development, and for regulating development."
"A social take on unconventional resources: Materiality, alienation and the making of shale gas in Poland and the United Kingdom",2019,"Abstract Unlike conventional resources, unconventional gas (such as shale gas) is trapped in low permeability rock, from which it does not flow naturally. Hence, its extraction is costly and requires sophisticated technologies. Building on my ethnographic work in north-west England and south-east Poland, I explore people’s engagements with shale gas materialities to show how the category of an ‘unconventional resource’ – framed by geological and engineering sciences – has more than merely technological implications. Instead, shale gas produces new sociotechnical relations by trying to remove itself from social entanglements. These attempts fail to contain the unruly forces of the subsurface and local impacts, bringing the alienating dynamics of resource-making into sharp relief. The irregularities of materials and infrastructural limits, integral to the socially dis-embedded ‘unconventionality’ of the developments, inadvertently turn shale gas projects into a site of the political."
"A Socioenvironmental Shale Gas Controversy Scientists’ Public Communications, Social Responsibility and Collective Versus Individual Positions",2015,"In this case study, we analyze the discourse, practices and representations of a group of scientists who issued public statements about the French shale gas controversy. The reasons they gave for engaging in this process of communication focused on their social responsibility, their collective ad hoc expertise and the neutrality of their position. We also investigated how these scientists actually produced their communications, despite the tensions between individual and collective positions. We discuss how this experience led them to reflect both individually and collectively on their representations of science in society."
Attitudes Toward “Fracking”: Perceived and Actual Geographic Proximity,2017,"Prior surveys have sought to gauge American public opinion toward shale gas development. Research on environmental hazards has produced conflicting findings related to the role of proximity in predicting attitudes. This study analyzes how perceived and actual proximity to active shale gas development in Pennsylvania, Ohio, and Texas predicts individual preferences for moratoria. We implement a conditionally parametric probit, which accounts for geographic variation in coefficient values. Our results suggest that attitudes toward the potential benefits and risks associated with shale gas development play a larger and more consistent role in predicting preference for moratoria than proximity or other sociodemographic factors. Our methodology allows for inferences related to the extent of geographic variation in coefficient values. Our results indicate that the role of proximity in predicting preference for moratoria differs based on whether a respondent resides in an urban or rural area or within a shale play."
Beliefs about impacts matter little for attitudes on shale gas development,2017,"Do facts lead to positive/negative views about energy development or vice versa? The answer matters crucially for policy and communication – if perceptions of what is true (beliefs) precede feelings (attitudes), additional information could shape views on an energy technology; yet, if attitudes precede beliefs, the usefulness of communication, either for influencing beliefs or simply making the public more informed, is far less clear. A long history of social-psychological research asserts that individuals’ beliefs predict their attitudes on environmental issues. Nevertheless, other theories intimate the reverse – attitudes shape beliefs, specifically on newly emergent, controversial topics. We investigated whether attitudes (i.e., support and opposition) about the contentious issue of shale gas development stem from or lead to beliefs about development. We collected data from random-sample surveys – of residents in the Marcellus Shale region and of a national US sample. Factor analyses and structural equation modelling lead us to question the dominant assumption that beliefs precede attitudes – the reverse, or a recursive relationship, appears more likely. Broad values and place attachment precede attitude formation more reliably than beliefs about impacts do – suggesting need for a larger focus in energy policy on core values and the ways in which development could foster or compromise these values."
Beyond Science and Hysteria: Reality and Perceptions of Environmental Justice Concerns Surrounding Marcellus and Utica Shale Gas Development,2016,"The debate surrounding the use of hydraulic fracturing (also known as “fracking” or “HF”) to extract natural gas from the Marcellus and Utica shale deposits is often characterized as a tension between economic development and environmental risks.  But frequently missing from this dichotomy is the fact that the concerns of many who oppose HF use extend beyond the purely “environmental,” and also include concerns about issues such as “the natural resource curse” and losing autonomy.  These concerns ring of “environmental justice” rather than “environmentalism.”  Environmental justice espouses the belief that no group should bear disproportionate environmental consequences resulting from industrial activity, and that people affected by industrial activity should be meaningfully involved in implementation.  Although some federal and state policies acknowledge principles of environmental justice, it has yet to be meaningfully incorporated into any legal framework in the United States. This Article argues that a nuanced characterization of the HF controversy should include a more robust discussion of both environmental justice and discourse in order to account for the inordinate burden residents of Appalachia have historically borne in fossil fuel production.  Part I examines relevant regional economic and social dynamics, including the natural resource curse, Appalachia’s unique vulnerabilities, efforts to portray opponents of shale gas development as “anti-science,” and the environmental justice movement’s relationship to extractive industries.  Part II reviews the use of modern HF technology and applicable legal frameworks in West Virginia, Pennsylvania, Ohio, and New York.  Part III argues that across Ohio, Pennsylvania, and West Virginia, environmental justice issues have arisen from shale gas development, including problems stemming from information asymmetries, power asymmetries, and limited access to justice.  In Part IV, the Article argues that the “anti-science” portrayal of shale gas opponents is unjustified, and that such “discourse-framing” obfuscates the actual costs and limitations on benefits of HF use, and thus, becomes an environmental justice issue itself.  Part IV also argues that environmental justice concerns shaped public sentiment in New York, and that the resulting “moral outrage” added to New York’s policy decision to ban HF altogether.  In Part V, the Article suggests that ideas which transcend the study of “moral outrage”/risk assessment and environmental justice advocacy may offer a way forward."
